ID	FORM	LEMMA	CPOS	POS	FEATS	HEAD	DEPREL	PHEAD	PDEPREL	ID_TOKEN_NELL_INTERVENTO	CUE	SCOPE
8	,	_	_	_	_	7	punct	_	_	59	O	_
9	come	_	_	_	_	10	mark	_	_	60	O	_
10	risulta	_	_	_	_	7	advcl	_	_	61	O	_
11-12	dall'	_	_	_	_	_	_	_	_	_	_	_
11	da	_	_	_	_	13	case	_	_	62	O	_
12	l'	_	_	_	_	13	det	_	_	63	O	_
13	elenco	_	_	_	_	10	obl	_	_	64	O	_
14	depositato	_	_	_	_	13	acl	_	_	65	O	_
15	presso	_	_	_	_	17	case	_	_	66	O	_
16	la	_	_	_	_	17	det	_	_	67	O	_
17	Presidenza	_	_	_	_	14	obl	_	_	68	O	_
18	e	_	_	_	_	21	cc	_	_	69	O	_
19	che	_	_	_	_	21	nsubj:pass	_	_	70	O	_
20	sarà	_	_	_	_	21	aux:pass	_	_	71	O	_
21	pubblicato	_	_	_	_	14	conj	_	_	72	O	_
22-23	nell'	_	_	_	_	_	_	_	_	_	_	_
22	in	_	_	_	_	24	case	_	_	73	O	_
23	l'	_	_	_	_	24	det	_	_	74	O	_
24	allegato	_	_	_	_	21	obl	_	_	75	O	_
25	A	_	_	_	_	24	nummod	_	_	76	O	_
26-27	al	_	_	_	_	_	_	_	_	_	_	_
26	a	_	_	_	_	28	case	_	_	77	O	_
27	il	_	_	_	_	28	det	_	_	78	O	_
28	resoconto	_	_	_	_	24	nmod	_	_	79	O	_
29-30	della	_	_	_	_	_	_	_	_	_	_	_
29	di	_	_	_	_	31	case	_	_	80	O	_
30	la	_	_	_	_	31	det	_	_	81	O	_
31	seduta	_	_	_	_	28	nmod	_	_	82	O	_
32	odierna	_	_	_	_	31	amod	_	_	83	O	_
33	(	_	_	_	_	40	punct	_	_	84	DESCR.	DESCR.
34	Ulteriori	_	_	_	_	35	amod	_	_	85	DESCR.	DESCR.
35	comunicazioni	_	_	_	_	40	nsubj:pass	_	_	86	DESCR.	DESCR.
36-37	all'	_	_	_	_	_	_	_	_	_	_	_
36	a	_	_	_	_	38	case	_	_	87	DESCR.	DESCR.
37	l'	_	_	_	_	38	det	_	_	88	DESCR.	DESCR.
38	Assemblea	_	_	_	_	35	nmod	_	_	89	DESCR.	DESCR.
39	saranno	_	_	_	_	40	aux:pass	_	_	90	DESCR.	DESCR.
40	pubblicate	_	_	_	_	21	advcl	_	_	91	DESCR.	DESCR.
41-42	nell'	_	_	_	_	_	_	_	_	_	_	_
41	in	_	_	_	_	43	case	_	_	92	DESCR.	DESCR.
42	l'	_	_	_	_	43	det	_	_	93	DESCR.	DESCR.
43	allegato	_	_	_	_	40	obl	_	_	94	DESCR.	DESCR.
44	A	_	_	_	_	43	nmod	_	_	95	DESCR.	DESCR.
45-46	al	_	_	_	_	_	_	_	_	_	_	_
45	a	_	_	_	_	47	case	_	_	96	DESCR.	DESCR.
46	il	_	_	_	_	47	det	_	_	97	DESCR.	DESCR.
47	resoconto	_	_	_	_	43	nmod	_	_	98	DESCR.	DESCR.
48-49	della	_	_	_	_	_	_	_	_	_	_	_
48	di	_	_	_	_	50	case	_	_	99	DESCR.	DESCR.
49	la	_	_	_	_	50	det	_	_	100	DESCR.	DESCR.
50	seduta	_	_	_	_	47	nmod	_	_	101	DESCR.	DESCR.
51	odierna	_	_	_	_	50	amod	_	_	102	DESCR.	DESCR.
52	)	_	_	_	_	40	punct	_	_	103	DESCR.	DESCR.
53	.	_	_	_	_	7	punct	_	_	104	O	_
# Titolo per i prossimi 27 interventi: Informativa urgente del Presidente del Consiglio dei ministri sui recenti sviluppi della situazione in Siria (ore 15,34). (ore 15,34)												
# INTERVENTO NUMERO 2												
# id="tit00020.int00010" cognomeNome="FICO Roberto" nominativo="PRESIDENTE"												
# sent_id = 1												
# text = L'ordine del giorno reca lo svolgimento di un'informativa urgente del Presidente del Consiglio dei ministri sui recenti sviluppi della situazione in Siria.												
1	L'	_	_	_	_	2	det	_	_	1	O	_
2	ordine	_	_	_	_	6	nsubj	_	_	2	O	_
3-4	del	_	_	_	_	_	_	_	_	_	_	_
3	di	_	_	_	_	5	case	_	_	3	O	_
4	il	_	_	_	_	5	det	_	_	4	O	_
5	giorno	_	_	_	_	2	nmod	_	_	5	O	_
6	reca	_	_	_	_	0	root	_	_	6	O	_
7	lo	_	_	_	_	8	det	_	_	7	O	_
8	svolgimento	_	_	_	_	6	obj	_	_	8	O	_
9	di	_	_	_	_	11	case	_	_	9	O	_
10	un'	_	_	_	_	11	det	_	_	10	O	_
11	informativa	_	_	_	_	8	nmod	_	_	11	O	_
12	urgente	_	_	_	_	11	amod	_	_	12	O	_
13-14	del	_	_	_	_	_	_	_	_	_	_	_
13	di	_	_	_	_	15	case	_	_	13	O	_
14	il	_	_	_	_	15	det	_	_	14	O	_
15	Presidente	_	_	_	_	11	nmod	_	_	15	O	_
16-17	del	_	_	_	_	_	_	_	_	_	_	_
16	di	_	_	_	_	18	case	_	_	16	O	_
17	il	_	_	_	_	18	det	_	_	17	O	_
18	Consiglio	_	_	_	_	15	nmod	_	_	18	O	_
19-20	dei	_	_	_	_	_	_	_	_	_	_	_
19	di	_	_	_	_	21	case	_	_	19	O	_
20	i	_	_	_	_	21	det	_	_	20	O	_
21	ministri	_	_	_	_	18	nmod	_	_	21	O	_
22-23	sui	_	_	_	_	_	_	_	_	_	_	_
22	su	_	_	_	_	25	case	_	_	22	O	_
23	i	_	_	_	_	25	det	_	_	23	O	_
24	recenti	_	_	_	_	25	amod	_	_	24	O	_
25	sviluppi	_	_	_	_	11	nmod	_	_	25	O	_
26-27	della	_	_	_	_	_	_	_	_	_	_	_
26	di	_	_	_	_	28	case	_	_	26	O	_
27	la	_	_	_	_	28	det	_	_	27	O	_
28	situazione	_	_	_	_	25	nmod	_	_	28	O	_
29	in	_	_	_	_	30	case	_	_	29	O	_
30	Siria	_	_	_	_	28	nmod	_	_	30	O	_
31	.	_	_	_	_	6	punct	_	_	31	O	_
# sent_id = 2												
# text = Dopo l'intervento del Presidente del Consiglio dei ministri interverranno i rappresentanti dei gruppi in ordine decrescente, secondo la rispettiva consistenza numerica, per dieci minuti ciascuno.												
1	Dopo	_	_	_	_	3	case	_	_	32	O	_
2	l'	_	_	_	_	3	det	_	_	33	O	_
3	intervento	_	_	_	_	13	obl	_	_	34	O	_
4-5	del	_	_	_	_	_	_	_	_	_	_	_
4	di	_	_	_	_	6	case	_	_	35	O	_
5	il	_	_	_	_	6	det	_	_	36	O	_
6	Presidente	_	_	_	_	3	nmod	_	_	37	O	_
7-8	del	_	_	_	_	_	_	_	_	_	_	_
7	di	_	_	_	_	9	case	_	_	38	O	_
8	il	_	_	_	_	9	det	_	_	39	O	_
9	Consiglio	_	_	_	_	6	nmod	_	_	40	O	_
10-11	dei	_	_	_	_	_	_	_	_	_	_	_
10	di	_	_	_	_	12	case	_	_	41	O	_
11	i	_	_	_	_	12	det	_	_	42	O	_
12	ministri	_	_	_	_	9	nmod	_	_	43	O	_
13	interverranno	_	_	_	_	0	root	_	_	44	O	_
14	i	_	_	_	_	15	det	_	_	45	O	_
15	rappresentanti	_	_	_	_	13	nsubj	_	_	46	O	_
16-17	dei	_	_	_	_	_	_	_	_	_	_	_
16	di	_	_	_	_	18	case	_	_	47	O	_
17	i	_	_	_	_	18	det	_	_	48	O	_
18	gruppi	_	_	_	_	15	nmod	_	_	49	O	_
19	in	_	_	_	_	20	case	_	_	50	O	_
20	ordine	_	_	_	_	13	obl	_	_	51	O	_
21	decrescente	_	_	_	_	20	amod	_	_	52	O	_
22	,	_	_	_	_	20	punct	_	_	53	O	_
23	secondo	_	_	_	_	26	case	_	_	54	O	_
24	la	_	_	_	_	26	det	_	_	55	O	_
25	rispettiva	_	_	_	_	26	amod	_	_	56	O	_
26	consistenza	_	_	_	_	20	nmod	_	_	57	O	_
27	numerica	_	_	_	_	26	amod	_	_	58	O	_
28	,	_	_	_	_	13	punct	_	_	59	O	_
29	per	_	_	_	_	31	case	_	_	60	O	_
30	dieci	_	_	_	_	31	nummod	_	_	61	O	_
31	minuti	_	_	_	_	13	obl	_	_	62	O	_
32	ciascuno	_	_	_	_	31	nmod	_	_	63	O	_
33	.	_	_	_	_	13	punct	_	_	64	O	_
# sent_id = 3												
# text = Un tempo aggiuntivo è attribuito al gruppo Misto.												
1	Un	_	_	_	_	2	det	_	_	65	O	_
2	tempo	_	_	_	_	5	nsubj:pass	_	_	66	O	_
3	aggiuntivo	_	_	_	_	2	amod	_	_	67	O	_
4	è	_	_	_	_	5	aux:pass	_	_	68	O	_
5	attribuito	_	_	_	_	0	root	_	_	69	O	_
6-7	al	_	_	_	_	_	_	_	_	_	_	_
6	a	_	_	_	_	8	case	_	_	70	O	_
7	il	_	_	_	_	8	det	_	_	71	O	_
8	gruppo	_	_	_	_	5	obl	_	_	72	O	_
9	Misto	_	_	_	_	8	nmod	_	_	73	O	_
10	.	_	_	_	_	5	punct	_	_	74	O	_
# Titolo per i prossimi 2 interventi: (Intervento del Presidente del Consiglio dei ministri)												
# INTERVENTO NUMERO 3												
# id="tit00020.sub00010.int00010" cognomeNome="FICO Roberto" nominativo="PRESIDENTE"												
# sent_id = 1												
# text = Ha facoltà di parlare il Presidente del Consiglio dei ministri, Paolo Gentiloni.												
1	Ha	_	_	_	_	0	root	_	_	1	O	_
2	facoltà	_	_	_	_	1	obj	_	_	2	O	_
3	di	_	_	_	_	4	mark	_	_	3	O	_
4	parlare	_	_	_	_	2	acl	_	_	4	O	_
5	il	_	_	_	_	6	det	_	_	5	O	_
6	Presidente	_	_	_	_	1	nsubj	_	_	6	O	_
7-8	del	_	_	_	_	_	_	_	_	_	_	_
7	di	_	_	_	_	9	case	_	_	7	O	_
8	il	_	_	_	_	9	det	_	_	8	O	_
9	Consiglio	_	_	_	_	6	nmod	_	_	9	O	_
10-11	dei	_	_	_	_	_	_	_	_	_	_	_
10	di	_	_	_	_	12	case	_	_	10	O	_
11	i	_	_	_	_	12	det	_	_	11	O	_
12	ministri	_	_	_	_	9	nmod	_	_	12	O	_
13	,	_	_	_	_	6	punct	_	_	13	O	_
14	Paolo	_	_	_	_	6	appos	_	_	14	O	_
15	Gentiloni	_	_	_	_	14	flat:name	_	_	15	O	_
16	.	_	_	_	_	1	punct	_	_	16	O	_
# INTERVENTO NUMERO 4												
# id="tit00020.sub00010.int00020" cognomeNome="GENTILONI SILVERI Paolo"												
# sent_id = 1												
# text = Presidente del Consiglio dei ministri.												
1	Presidente	_	_	_	_	0	root	_	_	1	DESCR.	DESCR.
2-3	del	_	_	_	_	_	_	_	_	_	_	_
2	di	_	_	_	_	4	case	_	_	2	DESCR.	DESCR.
3	il	_	_	_	_	4	det	_	_	3	DESCR.	DESCR.
4	Consiglio	_	_	_	_	1	nmod	_	_	4	DESCR.	DESCR.
5-6	dei	_	_	_	_	_	_	_	_	_	_	_
5	di	_	_	_	_	7	case	_	_	5	DESCR.	DESCR.
6	i	_	_	_	_	7	det	_	_	6	DESCR.	DESCR.
7	ministri	_	_	_	_	4	nmod	_	_	7	DESCR.	DESCR.
8	.	_	_	_	_	1	punct	_	_	8	DESCR.	DESCR.
# sent_id = 2												
# text = Signor Presidente, onorevoli colleghi, in questi giorni la Siria ha riproposto a tutti noi, come cittadini e soprattutto come parlamentari, un dilemma angoscioso, e cioè se possiamo noi, se può la comunità internazionale, a cento anni dalla conclusione della prima guerra mondiale, adattarsi all'idea di convivere di nuovo con le armi chimiche, riammettere in qualche modo le armi chimiche come un elemento legittimo del panorama della storia.												
1	Signor	_	_	_	_	13	vocative	_	_	9	O	_
2	Presidente	_	_	_	_	1	compound	_	_	10	O	_
3	,	_	_	_	_	1	punct	_	_	11	O	_
4	onorevoli	_	_	_	_	5	amod	_	_	12	O	_
5	colleghi	_	_	_	_	13	vocative	_	_	13	O	_
6	,	_	_	_	_	5	punct	_	_	14	O	_
7	in	_	_	_	_	9	case	_	_	15	O	_
8	questi	_	_	_	_	9	det	_	_	16	O	_
9	giorni	_	_	_	_	13	obl	_	_	17	O	_
10	la	_	_	_	_	11	det	_	_	18	O	_
11	Siria	_	_	_	_	13	nsubj	_	_	19	O	_
12	ha	_	_	_	_	13	aux	_	_	20	O	_
13	riproposto	_	_	_	_	0	root	_	_	21	O	_
14	a	_	_	_	_	16	case	_	_	22	O	_
15	tutti	_	_	_	_	16	det	_	_	23	O	_
16	noi	_	_	_	_	13	obl	_	_	24	O	_
17	,	_	_	_	_	16	punct	_	_	25	O	_
18	come	_	_	_	_	19	case	_	_	26	O	_
19	cittadini	_	_	_	_	16	nmod	_	_	27	O	_
20	e	_	_	_	_	23	cc	_	_	28	O	_
21	soprattutto	_	_	_	_	23	advmod	_	_	29	O	_
22	come	_	_	_	_	23	case	_	_	30	O	_
23	parlamentari	_	_	_	_	19	conj	_	_	31	O	_
24	,	_	_	_	_	13	punct	_	_	32	O	_
25	un	_	_	_	_	26	det	_	_	33	O	_
26	dilemma	_	_	_	_	13	obj	_	_	34	O	_
27	angoscioso	_	_	_	_	26	amod	_	_	35	O	_
28	,	_	_	_	_	26	punct	_	_	36	O	_
29	e	_	_	_	_	32	cc	_	_	37	O	_
30	cioè	_	_	_	_	32	advmod	_	_	38	O	_
31	se	_	_	_	_	32	mark	_	_	39	O	_
32	possiamo	_	_	_	_	53	aux	_	_	40	O	_
33	noi	_	_	_	_	32	nsubj	_	_	41	O	_
34	,	_	_	_	_	36	punct	_	_	42	O	_
35	se	_	_	_	_	36	mark	_	_	43	O	_
36	può	_	_	_	_	32	conj	_	_	44	O	_
37	la	_	_	_	_	38	det	_	_	45	O	_
38	comunità	_	_	_	_	36	nsubj	_	_	46	O	_
39	internazionale	_	_	_	_	38	amod	_	_	47	O	_
40	,	_	_	_	_	36	punct	_	_	48	O	_
41	a	_	_	_	_	43	case	_	_	49	O	_
42	cento	_	_	_	_	43	nummod	_	_	50	O	_
43	anni	_	_	_	_	36	obl	_	_	51	O	_
44-45	dalla	_	_	_	_	_	_	_	_	_	_	_
44	da	_	_	_	_	46	case	_	_	52	O	_
45	la	_	_	_	_	46	det	_	_	53	O	_
46	conclusione	_	_	_	_	43	nmod	_	_	54	O	_
47-48	della	_	_	_	_	_	_	_	_	_	_	_
47	di	_	_	_	_	50	case	_	_	55	O	_
48	la	_	_	_	_	50	det	_	_	56	O	_
49	prima	_	_	_	_	50	amod	_	_	57	O	_
50	guerra	_	_	_	_	46	nmod	_	_	58	O	_
51	mondiale	_	_	_	_	50	amod	_	_	59	O	_
52	,	_	_	_	_	43	punct	_	_	60	O	_
53-54	adattarsi	_	_	_	_	_	_	_	_	_	_	_
53	adattar	_	_	_	_	26	acl:relcl	_	_	61	O	_
54	si	_	_	_	_	53	expl	_	_	62	O	_
55-56	all'	_	_	_	_	_	_	_	_	_	_	_
55	a	_	_	_	_	57	case	_	_	63	O	_
56	l'	_	_	_	_	57	det	_	_	64	O	_
57	idea	_	_	_	_	53	obl	_	_	65	O	_
58	di	_	_	_	_	59	mark	_	_	66	O	_
59	convivere	_	_	_	_	57	acl	_	_	67	O	_
60	di	_	_	_	_	61	case	_	_	68	O	_
61	nuovo	_	_	_	_	59	obl	_	_	69	O	_
62	con	_	_	_	_	64	case	_	_	70	O	_
63	le	_	_	_	_	64	det	_	_	71	O	_
64	armi	_	_	_	_	59	obl	_	_	72	O	_
65	chimiche	_	_	_	_	64	amod	_	_	73	O	_
66	,	_	_	_	_	67	punct	_	_	74	O	_
67	riammettere	_	_	_	_	53	conj	_	_	75	O	_
68	in	_	_	_	_	70	case	_	_	76	O	_
69	qualche	_	_	_	_	70	det	_	_	77	O	_
70	modo	_	_	_	_	67	obl	_	_	78	O	_
71	le	_	_	_	_	72	det	_	_	79	O	_
72	armi	_	_	_	_	67	obj	_	_	80	O	_
73	chimiche	_	_	_	_	72	amod	_	_	81	O	_
74	come	_	_	_	_	76	case	_	_	82	O	_
75	un	_	_	_	_	76	det	_	_	83	O	_
76	elemento	_	_	_	_	67	obl	_	_	84	O	_
77	legittimo	_	_	_	_	76	amod	_	_	85	O	_
78-79	del	_	_	_	_	_	_	_	_	_	_	_
78	di	_	_	_	_	80	case	_	_	86	O	_
79	il	_	_	_	_	80	det	_	_	87	O	_
80	panorama	_	_	_	_	76	nmod	_	_	88	O	_
81-82	della	_	_	_	_	_	_	_	_	_	_	_
81	di	_	_	_	_	83	case	_	_	89	O	_
82	la	_	_	_	_	83	det	_	_	90	O	_
83	storia	_	_	_	_	80	nmod	_	_	91	O	_
84	.	_	_	_	_	13	punct	_	_	92	O	_
# sent_id = 3												
# text = Credo che la risposta di tutti noi, la risposta unanime a questo dilemma sia molto semplice e molto chiara:												
1	Credo	_	_	_	_	0	root	_	_	93	BS	_
2	che	_	_	_	_	17	mark	_	_	94	O	_?
3	la	_	_	_	_	4	det	_	_	95	O	93
4	risposta	_	_	_	_	17	nsubj	_	_	96	O	93
5	di	_	_	_	_	7	case	_	_	97	O	93
6	tutti	_	_	_	_	7	det	_	_	98	O	93
7	noi	_	_	_	_	4	nmod	_	_	99	O	93
8	,	_	_	_	_	4	punct	_	_	100	O	93
9	la	_	_	_	_	10	det	_	_	101	O	93
10	risposta	_	_	_	_	17	nsubj	_	_	102	O	93
11	unanime	_	_	_	_	10	amod	_	_	103	O	93
12	a	_	_	_	_	14	case	_	_	104	O	93
13	questo	_	_	_	_	14	det	_	_	105	O	93
14	dilemma	_	_	_	_	10	nmod	_	_	106	O	93
15	sia	_	_	_	_	17	cop	_	_	107	O	93
16	molto	_	_	_	_	17	advmod	_	_	108	O	93
17	semplice	_	_	_	_	1	ccomp	_	_	109	O	93
18	e	_	_	_	_	20	cc	_	_	110	O	93
19	molto	_	_	_	_	20	advmod	_	_	111	O	93
20	chiara	_	_	_	_	17	conj	_	_	112	O	93
21	:	_	_	_	_	1	punct	_	_	113	O	_
# sent_id = 4												
# text = non possiamo accettare che si torni, un secolo dopo la fine della grande guerra, all'uso e alla legittimazione dell'uso delle armi chimiche.												
1	non	_	_	_	_	3	advmod	_	_	114	BN	_
2	possiamo	_	_	_	_	3	aux	_	_	115	O	114
3	accettare	_	_	_	_	0	root	_	_	116	O	114
4	che	_	_	_	_	6	mark	_	_	117	O	114
5	si	_	_	_	_	6	expl:impers	_	_	118	O	114
6	torni	_	_	_	_	3	ccomp	_	_	119	O	114
7	,	_	_	_	_	6	punct	_	_	120	O	_
8	un	_	_	_	_	9	det	_	_	121	O	_
9	secolo	_	_	_	_	6	obl	_	_	122	O	_
10	dopo	_	_	_	_	12	case	_	_	123	O	_
11	la	_	_	_	_	12	det	_	_	124	O	_
12	fine	_	_	_	_	9	nmod	_	_	125	O	_
13-14	della	_	_	_	_	_	_	_	_	_	_	_
13	di	_	_	_	_	16	case	_	_	126	O	_
14	la	_	_	_	_	16	det	_	_	127	O	_
15	grande	_	_	_	_	16	amod	_	_	128	O	_
16	guerra	_	_	_	_	12	nmod	_	_	129	O	_
17	,	_	_	_	_	6	punct	_	_	130	O	_
18-19	all'	_	_	_	_	_	_	_	_	_	_	_
18	a	_	_	_	_	20	case	_	_	131	O	114
19	l'	_	_	_	_	20	det	_	_	132	O	114
20	uso	_	_	_	_	6	obl	_	_	133	O	114
21	e	_	_	_	_	24	cc	_	_	134	O	114
22-23	alla	_	_	_	_	_	_	_	_	_	_	_
22	a	_	_	_	_	24	case	_	_	135	O	114
23	la	_	_	_	_	24	det	_	_	136	O	114
24	legittimazione	_	_	_	_	20	conj	_	_	137	O	114
25-26	dell'	_	_	_	_	_	_	_	_	_	_	_
25	di	_	_	_	_	27	case	_	_	138	O	114
26	l'	_	_	_	_	27	det	_	_	139	O	114
27	uso	_	_	_	_	24	nmod	_	_	140	O	114
28-29	delle	_	_	_	_	_	_	_	_	_	_	_
28	di	_	_	_	_	30	case	_	_	141	O	114
29	le	_	_	_	_	30	det	_	_	142	O	114
30	armi	_	_	_	_	27	nmod	_	_	143	O	114
31	chimiche	_	_	_	_	30	amod	_	_	144	O	114
32	.	_	_	_	_	3	punct	_	_	145	O	114
# sent_id = 5												
# text = Non possiamo accettarlo (Applausi dei deputati dei gruppi MoVimento 5 Stelle e Partito Democratico)!												
1	Non	_	_	_	_	3	advmod	_	_	146	BN	_
2	possiamo	_	_	_	_	3	aux	_	_	147	O	146
3-4	accettarlo	_	_	_	_	_	_	_	_	_	_	_
3	accettar	_	_	_	_	0	root	_	_	148	O	146
4	lo	_	_	_	_	3	obj	_	_	149	O	146
5	(	_	_	_	_	6	punct	_	_	150	DESCR.	DESCR.
6	Applausi	_	_	_	_	3	obl	_	_	151	DESCR.	DESCR.
7-8	dei	_	_	_	_	_	_	_	_	_	_	_
7	di	_	_	_	_	9	case	_	_	152	DESCR.	DESCR.
8	i	_	_	_	_	9	det	_	_	153	DESCR.	DESCR.
9	deputati	_	_	_	_	6	nmod	_	_	154	DESCR.	DESCR.
10-11	dei	_	_	_	_	_	_	_	_	_	_	_
10	di	_	_	_	_	12	case	_	_	155	DESCR.	DESCR.
11	i	_	_	_	_	12	det	_	_	156	DESCR.	DESCR.
12	gruppi	_	_	_	_	9	nmod	_	_	157	DESCR.	DESCR.
13	MoVimento	_	_	_	_	12	nmod	_	_	158	DESCR.	DESCR.
14	5	_	_	_	_	13	flat:name	_	_	159	DESCR.	DESCR.
15	Stelle	_	_	_	_	13	flat:name	_	_	160	DESCR.	DESCR.
16	e	_	_	_	_	17	cc	_	_	161	DESCR.	DESCR.
17	Partito	_	_	_	_	13	conj	_	_	162	DESCR.	DESCR.
18	Democratico	_	_	_	_	17	flat:name	_	_	163	DESCR.	DESCR.
19	)	_	_	_	_	6	punct	_	_	164	DESCR.	DESCR.
20	!	_	_	_	_	3	punct	_	_	165	O	_
# sent_id = 6												
# text = Da sette anni il conflitto che insanguina la Siria si è rivelato come uno dei peggiori del dopoguerra.												
1	Da	_	_	_	_	3	case	_	_	166	O	_
2	sette	_	_	_	_	3	nummod	_	_	167	O	_
