ID	TOKEN	CUE	SCOPES					
16	Regolamento	O	-					
17	stesso	O	-					
18	che	O	-					
19	prevede	O	-					
20	la	O	-					
21	possibilità	O	-					
22	di	O	-					
23	gruppi	O	-					
24	in	O	-					
25	deroga	O	-					
26	,	O	-					
27	e	O	-					
28	la	O	30					
29	deroga	O	30					
30	non	BN	-					
31	è	O	30					
32	al	O	30					
33	Regolamento	O	30					
34	ma	O	-					
35	al	O	-					
36	numero	O	-					
37	dei	O	-					
38	componenti	O	-					
39	con	O	-					
40	cui	O	-					
41	si	O	-					
42	costituisce	O	-					
43	,	O	-					
44	secondo	O	-					
45	l'	O	-					
46	articolo	O	-					
47	1	O	-					
48	,	O	-					
49	ciascun	O	-					
50	gruppo	O	-					
51	,	O	-					
52	e	O	-					
53	che	O	-					
54	la	O	-					
55	deroga	O	-					
56	è	O	-					
57	prevista	O	-					
58	proprio	O	-					
59	dall'	O	-					
60	articolo	O	-					
61	2	O	-					
62	,	O	-					
63	ci	O	-					
64	terrei	O	-					
65	che	O	-					
66	lei	O	-					
67	precisasse	O	-					
68	che	O	-					
69	queste	O	-					
70	affermazioni	O	-					
71	fatte	O	-					
72	da	O	-					
73	alcuni	O	-					
74	colleghi	O	-					
75	,	O	-					
76	da	O	-					
77	alcuni	O	-					
78	commentatori	O	-					
79	,	O	-					
80	da	O	-					
81	alcuni	O	-					
82	influencer	O	-					
83	e	O	-					
84	anche	O	-					
85	da	O	-					
86	qualcuno	O	-					
87	del	O	-					
88	suo	O	-					
89	partito	O	-					
90	qualche	O	-					
91	anno	O	-					
92	fa	O	-					
93	,	O	-					
94	riferendosi	O	-					
95	alla	O	-					
96	stessa	O	-					
97	circostanza	O	-					
98	nei	O	-					
99	confronti	O	-					
100	della	O	-					
101	costituzione	O	-					
102	in	O	-					
103	deroga	O	-					
104	al	O	-					
105	numero	O	-					
106	dei	O	-					
107	venti	O	-					
108	parlamentari	O	-					
109	del	O	-					
110	gruppo	O	-					
111	di	O	-					
112	Fratelli	O	-					
113	d'	O	-					
114	Italia	O	-					
115	nella	O	-					
116	precedente	O	-					
117	legislatura	O	-					
118	,	O	-					
119	che	O	-					
120	tutte	O	-					
121	queste	O	-					
122	cose	O	-					
123	sono	O	-					
124	sciocchezze	O	-					
125	,	O	-					
126	che	O	-					
127	l'	O	-					
128	Ufficio	O	-					
129	di	O	-					
130	Presidenza	O	-					
131	ha	O	-					
132	provveduto	O	-					
133	nella	O	-					
134	pienezza	O	-					
135	dei	O	-					
136	propri	O	-					
137	poteri	O	-					
138	e	O	-					
139	che	O	-					
140	lei	O	144					
141	,	O	-					
142	Presidente	O	-					
143	,	O	-					
144	non	BN	-					
145	è	O	144					
146	che	O	144					
147	ha	O	144					
148	autorizzato	O	144					
149	nulla	IN	-					
150	che	O	144, 151					
151	non	BN	144					
152	sia	O	144, 151					
153	previsto	O	144, 151					
154	esplicitamente	O	144, 151					
155	dal	O	144, 151					
156	Regolamento	O	144, 151					
157	.	O	144, 151					
*** INTERVENTO NUMERO 21 ***								
0	Presidente	O	-					
1	,	O	-					
2	onorevoli	O	-					
3	colleghi	O	-					
4	,	O	-					
5	colgo	O	-					
6	l'	O	-					
7	occasione	O	-					
8	per	O	-					
9	portare	O	-					
10	all'	O	-					
11	attenzione	O	-					
12	di	O	-					
13	quest'	O	-					
14	Aula	O	-					
15	le	O	-					
16	preoccupazioni	O	-					
17	di	O	-					
18	centinaia	O	-					
19	di	O	-					
20	lavoratori	O	-					
21	del	O	-					
22	punto	O	-					
23	vendita	O	-					
24	Auchan	O	-					
25	Napoli	O	-					
26	di	O	-					
27	via	O	-					
28	Argine	O	-					
29	,	O	-					
30	e	O	-					
31	più	O	-					
32	in	O	-					
33	generale	O	-					
34	di	O	-					
35	tutti	O	-					
36	i	O	-					
37	punti	O	-					
38	vendita	O	-					
39	della	O	-					
40	Campania	O	-					
41	,	O	-					
42	come	O	-					
43	Mugnano	O	-					
44	,	O	-					
45	Giugliano	O	-					
46	,	O	-					
47	Nola	O	-					
48	e	O	-					
49	Pompei	O	-					
50	,	O	-					
51	che	O	-					
52	vivono	O	-					
53	momenti	O	-					
54	di	O	-					
55	grande	O	-					
56	apprensione	O	-					
57	circa	O	-					
58	il	O	-					
59	proprio	O	-					
60	futuro	O	-					
61	.	O	-					
62	A	O	-					
63	quanto	O	-					
64	pare	BS	-					
65	,	O	-					
66	già	O	64, 74					
67	a	O	64, 74					
68	fine	O	64, 74					
69	mese	O	64, 74					
70	il	O	64, 74					
71	famoso	O	64, 74					
72	marchio	O	64, 74					
73	francese	O	64, 74					
74	chiuderebbe	BS	64					
75	i	O	64, 74					
76	battenti	O	64, 74					
77	in	O	64, 74					
78	questi	O	64, 74					
79	centri	O	64, 74					
80	nel	O	64, 74					
81	napoletano	O	64, 74					
82	.	O	64, 74					
83	Non	BN	-					
84	va	O	84					
85	,	O	84					
86	non	BN	-					
87	può	O	86					
88	andare	O	86					
89	,	O	-					
90	signor	O	-					
91	Presidente	O	-					
92	!	O	-					
93	Lo	O	-					
94	dico	O	-					
95	da	O	-					
96	napoletano	O	-					
97	e	O	-					
98	da	O	-					
99	lavoratore	O	-					
100	.	O	-					
101	Negli	O	-					
102	ultimi	O	-					
103	anni	O	-					
104	stiamo	O	-					
105	assistendo	O	-					
106	sempre	O	-					
107	di	O	-					
108	più	O	-					
109	al	O	-					
110	declino	O	-					
111	economico	O	-					
112	del	O	-					
113	mito	O	-					
114	dei	O	-					
115	grandi	O	-					
116	centri	O	-					
117	commerciali	O	-					
118	,	O	-					
119	troppo	O	-					
120	spesso	O	-					
121	aperti	O	-					
122	anche	O	-					
123	con	O	-					
124	fondi	O	-					
125	dello	O	-					
126	Stato	O	-					
127	,	O	-					
128	e	O	-					
129	che	O	-					
130	,	O	-					
131	invece	O	-					
132	di	O	-					
133	produrre	O	-					
134	un'	O	-					
135	economia	O	-					
136	stabile	O	-					
137	e	O	-					
138	duratura	O	-					
139	nel	O	-					
140	tempo	O	-					
141	,	O	-					
142	hanno	O	-					
143	solamente	O	-					
144	distrutto	O	-					
145	il	O	-					
146	piccolo	O	-					
147	commercio	O	-					
148	e	O	-					
149	reso	O	-					
150	vulnerabili	O	-					
151	i	O	-					
152	lavoratori	O	-					
153	.	O	-					
154	L'	O	-					
155	Auchan	O	-					
156	ha	O	-					
157	annunciato	O	-					
158	nei	O	-					
159	giorni	O	-					
160	scorsi	O	-					
161	di	O	-					
162	aver	O	-					
163	definito	O	-					
164	un	O	-					
165	accordo	O	-					
166	preliminare	O	-					
167	per	O	-					
168	affittare	O	-					
169	il	O	-					
170	ramo	O	-					
171	d'	O	-					
172	azienda	O	-					
173	alimentare	O	-					
174	a	O	-					
175	un	O	-					
176	noto	O	-					
177	imprenditore	O	-					
178	della	O	-					
179	Campania	O	-					
180	.	O	-					
181	Per	O	-					
182	questo	O	-					
183	motivo	O	-					
184	,	O	-					
185	i	O	-					
186	lavoratori	O	-					
187	hanno	O	-					
188	dato	O	-					
189	vita	O	-					
190	a	O	-					
191	presidi	O	-					
192	,	O	-					
193	manifestazioni	O	-					
194	e	O	-					
195	riunioni	O	-					
196	permanenti	O	-					
197	.	O	-					
198	Io	O	-					
199	e	O	-					
200	il	O	-					
201	collega	O	-					
202	del	O	-					
203	MoVimento	O	-					
204	5	O	-					
205	Stelle	O	-					
206	al	O	-					
207	Senato	O	-					
208	Sergio	O	-					
209	Vaccaro	O	-					
210	ci	O	-					
211	siamo	O	-					
212	recati	O	-					
213	personalmente	O	-					
214	in	O	-					
215	questi	O	-					
216	punti	O	-					
217	vendita	O	-					
218	,	O	-					
219	abbiamo	O	-					
220	parlato	O	-					
221	con	O	-					
222	i	O	-					
223	lavoratori	O	-					
224	e	O	-					
225	raccolto	O	-					
226	le	O	-					
227	loro	O	-					
228	amarezze	O	-					
229	,	O	-					
230	in	O	-					
231	qualche	O	-					
232	caso	O	-					
233	anche	O	-					
234	dei	O	-					
235	pianti	O	-					
236	di	O	-					
237	commozione	O	-					
238	di	O	-					
239	padri	O	-					
240	e	O	-					
241	madri	O	-					
242	con	O	-					
243	figli	O	-					
244	a	O	-					
245	carico	O	-					
246	,	O	-					
247	disoccupati	O	-					
248	e	O	-					
249	studenti	O	-					
250	da	O	-					
251	mantenere	O	-					
252	.	O	-					
253	Vorrei	O	-					
254	richiamare	O	-					
255	l'	O	-					
256	attenzione	O	-					
257	delle	O	-					
258	istituzioni	O	-					
259	competenti	O	-					
260	affinché	O	-					
261	siano	O	-					
262	salvaguardati	O	-					
263	tutti	O	-					
264	i	O	-					
265	posti	O	-					
266	di	O	-					
267	lavoro	O	-					
268	.	O	-					
269	Una	O	-					
270	nota	O	-					
271	aziendale	O	-					
272	riferiva	O	-					
273	che	O	-					
274	tale	O	-					
275	operazione	O	-					
276	garantirà	O	-					
277	continuità	O	-					
278	occupazionale	O	-					
279	per	O	-					
280	una	O	-					
281	parte	O	-					
282	dei	O	-					
283	lavoratori	O	-					
284	in	O	-					
285	organico	O	-					
286	.	O	-					
287	Si	O	-					
288	deduce	BS	-					
289	che	O	288					
290	il	O	288, 294					
291	posto	O	288, 294					
292	di	O	288, 294					
293	lavoro	O	288, 294					
294	non	BN	288, 294					
295	sarebbe	O	288, 294					
296	assicurato	O	288, 294					
297	a	O	288, 294					
298	tutti	O	288, 294					
299	,	O	288, 294					
300	che	O	288					
301	alcuni	O	288					
302	rimarrebbero	O	288					
303	dunque	O	288					
304	fuori	O	288					
305	";"	O	288					
306	altri	O	-					
307	lavoratori	O	-					
308	ancora	O	-					
309	ci	O	-					
310	dicevano	BS?	-					
311	che	O	-					
312	i	O	310?, 314					
313	contratti	O	310?, 314					
314	non	BN	-					
315	avverrebbero	O	310?, 314					
316	alle	O	310?, 314					
317	stesse	O	310?, 314					
318	condizioni	O	310?, 314					
319	.	O	310?, 314					
*** INTERVENTO NUMERO 23 ***								
0	Ricordo	O	-					
1	a	O	-					
2	tutti	O	-					
3	che	O	-					
4	,	O	-					
5	dietro	O	-					
6	ogni	O	-					
7	lavoratore	O	-					
8	,	O	-					
9	c'	O	-					
10	è	O	-					
11	una	O	-					
12	famiglia	O	-					
13	,	O	-					
14	ricordiamolo	O	-					
15	sempre	O	-					
16	.	O	-					
17	Pertanto	O	-					
18	,	O	-					
19	Presidente	O	-					
20	Fico	O	-					
21	,	O	-					
22	invito	O	-					
23	,	O	-					
24	a	O	-					
25	prendere	O	-					
26	a	O	-					
27	cuore	O	-					
28	la	O	-					
29	sorte	O	-					
30	di	O	-					
31	questi	O	-					
32	lavoratori	O	-					
33	.	O	-					
34	Ieri	O	-					
35	a	O	-					
36	Volla	O	-					
37	,	O	-					
38	in	O	-					
39	provincia	O	-					
40	di	O	-					
41	Napoli	O	-					
42	,	O	-					
43	oggi	O	-					
44	Ponticelli	O	-					
45	e	O	-					
46	Catania	O	-					
47	La	O	-					
48	Rena	O	-					
49	.	O	-					
50	Domani	O	53					
51	la	O	53					
52	crisi	O	53					
53	potrebbe	BS	-					
54	estendersi	O	53					
55	ad	O	53					
56	altri	O	53					
57	punti	O	53					
58	vendita	O	53					
59	del	O	53					
60	noto	O	53					
61	marchio	O	53					
62	francese	O	53					
63	?	O	53					
64	Sarebbe	O	-					
65	il	O	-					
66	caso	O	-					
67	di	O	-					
68	convocare	O	-					
69	i	O	-					
70	vertici	O	-					
71	per	O	-					
72	ricevere	O	-					
73	le	O	-					
74	opportune	O	-					
75	rassicurazioni	O	-					
76	,	O	-					
77	per	O	-					
78	ricostruire	O	-					
79	il	O	-					
80	quadro	O	-					
81	della	O	-					
82	situazione	O	-					
83	,	O	-					
84	avere	O	-					
85	spiegazioni	O	-					
86	circa	O	-					
87	l'	O	-					
88	utilizzo	O	-					
89	dei	O	-					
90	fondi	O	-					
91	dello	O	-					
92	Stato	O	-					
93	e	O	-					
94	quale	O	-					
95	politiche	O	-					
96	di	O	-					
97	rilancio	O	-					
98	sono	O	-					
99	state	O	-					
100	applicate	O	-					
101	oltre	O	-					
102	al	O	-					
103	progetto	O	-					
104	denominato	O	-					
105	Dis	O	-					
106	.	O	-					
*** INTERVENTO NUMERO 24 ***								
0	Chiedo	O	-					
1	di	O	-					
2	parlare	O	-					
3	.	O	-					
*** INTERVENTO NUMERO 26 ***								
0	Grazie	O	-					
1	Presidente	O	-					
2	.	O	-					
3	Brevemente	O	-					
4	per	O	-					
5	dire	O	-					
6	in	O	-					
7	questa	O	-					
8	Assemblea	O	-					
9	che	O	-					
10	stamattina	O	-					
11	,	O	-					
12	alle	O	-					
13	cinque	O	-					
14	,	O	-					
15	la	O	-					
16	terra	O	-					
17	è	O	-					
18	tornata	O	-					
19	a	O	-					
20	tremare	O	-					
21	nel	O	-					
22	Centro	O	-					
23	Italia	O	-					
24	,	O	-					
25	nelle	O	-					
26	Marche	O	-					
27	.	O	-					
28	Questo	O	-					
29	drammaticamente	O	-					
30	ci	O	-					
31	ricorda	O	-					
32	come	O	-					
33	la	O	-					
34	questione	O	-					
35	del	O	-					
36	terremoto	O	-					
37	,	O	-					
38	delle	O	-					
39	popolazioni	O	-					
40	colpite	O	-					
41	dal	O	-					
42	terremoto	O	-					
43	,	O	-					
44	sia	O	-					
45	una	O	-					
46	questione	O	-					
47	che	O	-					
48	debba	O	-					
49	essere	O	-					
50	posta	O	-					
51	al	O	-					
52	centro	O	-					
53	dell'	O	-					
54	agenda	O	-					
55	politica	O	-					
56	italiana	O	-					
57	e	O	-					
58	che	O	63?					
59	debba	O	63?					
60	essere	O	63?					
61	-	O	-					
62	io	O	-					
63	credo	BS?	-					
64	-	O	-					
65	concordemente	O	63?					
66	un	O	63?					
67	punto	O	63?					
68	fisso	O	63?					
69	nel	O	63?					
70	programma	O	63?					
71	del	O	63?					
72	prossimo	O	63?					
73	Governo	O	63?					
74	,	O	-					
75	qualunque	O	-					
76	sia	O	-					
77	il	O	-					
78	colore	O	-					
79	di	O	-					
80	questo	O	-					
81	Governo	O	-					
82	.	O	-					
83	Presidente	O	-					
84	,	O	-					
85	malgrado	O	-					
86	in	O	93					
87	questi	O	93					
88	giorni	O	93					
89	i	O	93					
90	lavori	O	93					
91	dell'	O	93					
92	Assemblea	O	93					
93	non	BN	-					
94	possano	O	93					
95	procedere	O	93					
96	a	O	93					
97	pieno	O	93					
98	regime	O	93					
99	,	O	93					
100	perché	O	-					
101	non	BN	-					
102	c'	O	101					
103	è	O	101					
104	un	O	101					
105	Governo	O	101					
106	formato	O	101					
107	,	O	101					
108	non	BN	-					
109	sono	O	108					
110	formate	O	108					
111	le	O	108					
112	Commissioni	O	108					
113	,	O	108					
114	io	O	-					
115	mi	O	-					
116	sento	O	-					
117	di	O	-					
118	portare	O	-					
119	in	O	-					
120	questa	O	-					
121	Assemblea	O	-					
122	l'	O	-					
123	abbraccio	O	-					
124	,	O	-					
125	la	O	-					
126	solidarietà	O	-					
127	del	O	-					
128	gruppo	O	-					
129	di	O	-					
130	Forza	O	-					
131	Italia	O	-					
132	alle	O	-					
133	popolazioni	O	-					
134	colpite	O	-					
135	dal	O	-					
136	terremoto	O	-					
137	,	O	-					
138	e	O	-					
139	la	O	-					
140	buona	O	-					
141	volontà	O	-					
142	e	O	-					
143	l'	O	-					
144	impegno	O	-					
145	corale	O	-					
146	di	O	-					
147	tutti	O	-					
148	,	O	-					
149	a	O	-					
150	partire	O	-					
151	anche	O	-					
152	dal	O	-					
153	vertice	O	-					
154	della	O	-					
155	Presidenza	O	-					
156	della	O	-					
157	Camera	O	-					
158	,	O	-					
159	a	O	-					
160	tenere	O	-					
161	in	O	-					
162	debito	O	-					
163	conto	O	-					
164	le	O	-					
165	questioni	O	-					
166	,	O	-					
167	i	O	-					
168	problemi	O	-					
169	,	O	-					
170	di	O	-					
171	queste	O	-					
172	popolazioni	O	-					
173	che	O	-					
174	,	O	-					
175	oggi	O	-					
176	più	O	-					
177	che	O	-					
178	mai	O	-					
179	,	O	-					
180	hanno	O	-					
181	bisogno	O	-					
182	di	O	-					
183	non	BN	-					
184	sentirsi	O	184					
185	abbandonati	O	184					
186	dalle	O	184					
187	nostre	O	184					
188	istituzioni	O	184					
189	.	O	184					
*** INTERVENTO NUMERO 27 ***								
0	Chiedo	O	-					
1	di	O	-					
2	parlare	O	-					
3	.	O	-					
*** INTERVENTO NUMERO 29 ***								
0	La	O	-					
1	ringrazio	O	-					
2	,	O	-					
3	Presidente	O	-					
4	.	O	-					
5	Il	O	-					
6	gruppo	O	-					
7	del	O	-					
8	Partito	O	-					
9	Democratico	O	-					
10	si	O	-					
11	unisce	O	-					
12	alle	O	-					
13	parole	O	-					
14	appena	O	-					
15	ascoltate	O	-					
16	dall'	O	-					
17	onorevole	O	-					
18	Baldelli	O	-					
19	circa	O	-					
20	l'	O	-					
21	ennesima	O	-					
22	scossa	O	-					
23	che	O	-					
24	questa	O	-					
25	mattina	O	-					
26	all'	O	-					
27	alba	O	-					
28	hanno	O	-					
29	patito	O	-					
30	le	O	-					
31	popolazioni	O	-					
32	delle	O	-					
33	Marche	O	-					
34	e	O	-					
35	dell'	O	-					
36	Umbria	O	-					
37	.	O	-					
38	Ci	O	-					
39	stringiamo	O	-					
40	ai	O	-					
41	nostri	O	-					
42	fratelli	O	-					
43	delle	O	-					
44	Marche	O	-					
45	e	O	-					
46	dell'	O	-					
47	Umbria	O	-					
48	per	O	-					
49	questo	O	-					
50	ennesimo	O	-					
51	episodio	O	-					
52	.	O	-					
53	Ci	O	-					
54	auguriamo	O	-					
55	che	O	-					
56	gli	O	69					
57	esiti	O	69					
58	e	O	69					
59	gli	O	69					
60	effetti	O	69					
61	di	O	69					
62	questa	O	69					
63	scossa	O	69					
64	,	O	-					
65	di	O	-					
66	nuovo	O	-					
67	terribile	O	-					
68	,	O	-					
69	non	BN	-					
70	siano	O	69					
71	gravi	O	69					
72	e	O	-					
73	che	O	-					
74	,	O	-					
75	ovviamente	O	-					
76	,	O	-					
77	non	BN	-					
78	vi	O	77					
79	siano	O	77					
80	stati	O	77					
81	danni	O	77					
82	tra	O	77					
83	le	O	77					
84	persone	O	77					
85	fisiche	O	77					
86	.	O	77					
87	Ci	O	-					
88	uniamo	O	-					
89	a	O	-					
90	loro	O	-					
91	,	O	-					
92	li	O	-					
93	abbracciamo	O	-					
94	tutti	O	-					
95	,	O	-					
96	facciamo	O	-					
97	giungere	O	-					
98	a	O	-					
99	loro	O	-					
100	,	O	-					
101	dal	O	-					
102	nostro	O	-					
103	gruppo	O	-					
104	,	O	-					
105	la	O	-					
106	nostra	O	-					
107	solidarietà	O	-					
108	fraterna	O	-					
109	.	O	-					
*** INTERVENTO NUMERO 30 ***								
0	Chiedo	O	-					
1	di	O	-					
2	parlare	O	-					
3	.	O	-					
*** INTERVENTO NUMERO 32 ***								
0	Grazie	O	-					
1	Presidente	O	-					
2	.	O	-					
3	Colgo	O	-					
4	anche	O	-					
5	io	O	-					
6	l'	O	-					
7	occasione	O	-					
8	per	O	-					
9	parlare	O	-					
10	del	O	-					
11	terremoto	O	-					
12	che	O	-					
13	c'	O	-					
14	è	O	-					
15	stato	O	-					
16	questa	O	-					
17	notte	O	-					
18	.	O	-					
19	Anch'	O	-					
20	io	O	-					
21	sono	O	-					
22	stata	O	-					
23	svegliata	O	-					
24	,	O	-					
25	essendo	O	-					
26	di	O	-					
27	Fabriano	O	-					
28	,	O	-					
29	e	O	-					
30	quindi	O	-					
31	a	O	-					
32	pochi	O	-					
33	chilometri	O	-					
34	dall'	O	-					
35	epicentro	O	-					
36	.	O	-					
37	Il	O	-					
38	problema	O	-					
39	purtroppo	O	-					
40	è	O	-					
41	ancora	O	-					
42	molto	O	-					
43	grave	O	-					
44	:	O	-					
45	le	O	-					
46	SAE	O	-					
47	che	O	-					
48	sono	O	-					
49	state	O	-					
50	appena	O	-					
