ID	FORM	LEMMA	CPOS	POS	FEATS	HEAD	DEPREL	PHEAD	PDEPREL	ID_TOKEN_NELL_INTERVENTO	CUE	SCOPE
4	il	_	_	_	_	5	det	_	_	4	DESCR.	DESCR.
5	processo	_	_	_	_	3	obj	_	_	5	DESCR.	DESCR.
6	verbale	_	_	_	_	5	amod	_	_	6	DESCR.	DESCR.
7-8	della	_	_	_	_	_	_	_	_	_	_	_
7	di	_	_	_	_	9	case	_	_	7	DESCR.	DESCR.
8	la	_	_	_	_	9	det	_	_	8	DESCR.	DESCR.
9	seduta	_	_	_	_	5	nmod	_	_	9	DESCR.	DESCR.
10-11	del	_	_	_	_	_	_	_	_	_	_	_
10	di	_	_	_	_	12	case	_	_	10	DESCR.	DESCR.
11	il	_	_	_	_	12	det	_	_	11	DESCR.	DESCR.
12	18	_	_	_	_	9	nmod	_	_	12	DESCR.	DESCR.
13	aprile	_	_	_	_	12	flat	_	_	13	DESCR.	DESCR.
14	2018	_	_	_	_	12	flat	_	_	14	DESCR.	DESCR.
15	.	_	_	_	_	3	punct	_	_	15	DESCR.	DESCR.
# INTERVENTO NUMERO 2
# id="tit00000.int00030" cognomeNome="FICO Roberto" nominativo="PRESIDENTE"
# sent_id = 1
# text = Se non vi sono osservazioni, il processo verbale si intende approvato.
1	Se	_	_	_	_	4	mark	_	_	1	 	 
2	non	_	_	_	_	4	advmod	_	_	2	 	 
3	vi	_	_	_	_	4	expl	_	_	3	 	 
4	sono	_	_	_	_	11	advcl	_	_	4	 	 
5	osservazioni	_	_	_	_	4	nsubj	_	_	5	 	 
6	,	_	_	_	_	4	punct	_	_	6	 	 
7	il	_	_	_	_	8	det	_	_	7	 	 
8	processo	_	_	_	_	11	nsubj:pass	_	_	8	 	 
9	verbale	_	_	_	_	8	amod	_	_	9	 	 
10	si	_	_	_	_	11	expl:pass	_	_	10	 	 
11	intende	_	_	_	_	0	root	_	_	11	 	 
12	approvato	_	_	_	_	11	xcomp	_	_	12	 	 
13	.	_	_	_	_	11	punct	_	_	13	 	 
# sent_id = 2
# text = (È approvato).
1	(	_	_	_	_	3	punct	_	_	14	DESCR.	DESCR.
2	È	_	_	_	_	3	aux:pass	_	_	15	DESCR.	DESCR.
3	approvato	_	_	_	_	0	root	_	_	16	DESCR.	DESCR.
4	)	_	_	_	_	3	punct	_	_	17	DESCR.	DESCR.
5	.	_	_	_	_	3	punct	_	_	18	DESCR.	DESCR.
# Titolo per i prossimi 1 interventi: Missioni.
# INTERVENTO NUMERO 3
# id="tit00010.int00010" cognomeNome="FICO Roberto" nominativo="PRESIDENTE"
# sent_id = 1
# text = Comunico che, ai sensi dell'articolo 46, comma 2, del Regolamento, i deputati Boschi, Cirielli, Colucci, De Micheli, Gregorio Fontana, Fraccaro, Franceschini, Frusone, Gelmini, Gentiloni Silveri, Giacomelli, Liuzzi, Lotti, Orlando, Picchi, Pizzetti e Rampelli sono in missione a decorrere dalla seduta odierna.
1	Comunico	_	_	_	_	0	root	_	_	1	O	_
2	che	_	_	_	_	59	mark	_	_	2	O	_
3	,	_	_	_	_	59	punct	_	_	3	O	_
4-5	ai	_	_	_	_	_	_	_	_	_	_	_
4	a	_	_	_	_	6	case	_	_	4	O	_
5	i	_	_	_	_	6	det	_	_	5	O	_
6	sensi	_	_	_	_	59	obl	_	_	6	O	_
7-8	dell'	_	_	_	_	_	_	_	_	_	_	_
7	di	_	_	_	_	9	case	_	_	7	O	_
8	l'	_	_	_	_	9	det	_	_	8	O	_
9	articolo	_	_	_	_	6	nmod	_	_	9	O	_
10	46	_	_	_	_	9	nummod	_	_	10	O	_
11	,	_	_	_	_	9	punct	_	_	11	O	_
12	comma	_	_	_	_	9	nmod	_	_	12	O	_
13	2	_	_	_	_	12	nummod	_	_	13	O	_
14	,	_	_	_	_	9	punct	_	_	14	O	_
15-16	del	_	_	_	_	_	_	_	_	_	_	_
15	di	_	_	_	_	17	case	_	_	15	O	_
16	il	_	_	_	_	17	det	_	_	16	O	_
17	Regolamento	_	_	_	_	9	nmod	_	_	17	O	_
18	,	_	_	_	_	6	punct	_	_	18	O	_
19	i	_	_	_	_	20	det	_	_	19	O	_
20	deputati	_	_	_	_	59	nsubj	_	_	20	O	_
21	Boschi	_	_	_	_	20	nmod	_	_	21	O	_
22	,	_	_	_	_	23	punct	_	_	22	O	_
23	Cirielli	_	_	_	_	21	conj	_	_	23	O	_
24	,	_	_	_	_	25	punct	_	_	24	O	_
25	Colucci	_	_	_	_	21	conj	_	_	25	O	_
26	,	_	_	_	_	27	punct	_	_	26	O	_
27	De	_	_	_	_	21	conj	_	_	27	O	_
28	Micheli	_	_	_	_	27	flat:name	_	_	28	O	_
29	,	_	_	_	_	30	punct	_	_	29	O	_
30	Gregorio	_	_	_	_	21	conj	_	_	30	O	_
31	Fontana	_	_	_	_	30	flat:name	_	_	31	O	_
32	,	_	_	_	_	33	punct	_	_	32	O	_
33	Fraccaro	_	_	_	_	21	conj	_	_	33	O	_
34	,	_	_	_	_	35	punct	_	_	34	O	_
35	Franceschini	_	_	_	_	21	conj	_	_	35	O	_
36	,	_	_	_	_	37	punct	_	_	36	O	_
37	Frusone	_	_	_	_	21	conj	_	_	37	O	_
38	,	_	_	_	_	39	punct	_	_	38	O	_
39	Gelmini	_	_	_	_	21	conj	_	_	39	O	_
40	,	_	_	_	_	41	punct	_	_	40	O	_
41	Gentiloni	_	_	_	_	21	conj	_	_	41	O	_
42	Silveri	_	_	_	_	21	conj	_	_	42	O	_
43	,	_	_	_	_	44	punct	_	_	43	O	_
44	Giacomelli	_	_	_	_	21	conj	_	_	44	O	_
45	,	_	_	_	_	46	punct	_	_	45	O	_
46	Liuzzi	_	_	_	_	21	conj	_	_	46	O	_
47	,	_	_	_	_	48	punct	_	_	47	O	_
48	Lotti	_	_	_	_	21	conj	_	_	48	O	_
49	,	_	_	_	_	50	punct	_	_	49	O	_
50	Orlando	_	_	_	_	21	conj	_	_	50	O	_
51	,	_	_	_	_	52	punct	_	_	51	O	_
52	Picchi	_	_	_	_	21	conj	_	_	52	O	_
53	,	_	_	_	_	54	punct	_	_	53	O	_
54	Pizzetti	_	_	_	_	52	conj	_	_	54	O	_
55	e	_	_	_	_	56	cc	_	_	55	O	_
56	Rampelli	_	_	_	_	52	conj	_	_	56	O	_
57	sono	_	_	_	_	59	cop	_	_	57	O	_
58	in	_	_	_	_	59	case	_	_	58	O	_
59	missione	_	_	_	_	1	ccomp	_	_	59	O	_
60	a	_	_	_	_	61	mark	_	_	60	O	_
61	decorrere	_	_	_	_	59	advcl	_	_	61	O	_
62-63	dalla	_	_	_	_	_	_	_	_	_	_	_
62	da	_	_	_	_	64	case	_	_	62	O	_
63	la	_	_	_	_	64	det	_	_	63	O	_
64	seduta	_	_	_	_	61	obl	_	_	64	O	_
65	odierna	_	_	_	_	64	amod	_	_	65	O	_
66	.	_	_	_	_	1	punct	_	_	66	O	_
# sent_id = 2
# text = I deputati in missione sono complessivamente ventidue, come risulta dall'elenco depositato presso la Presidenza e che sarà pubblicato nell' allegato A al resoconto della seduta odierna (Ulteriori comunicazioni all'Assemblea saranno pubblicate nell'allegato A al resoconto della seduta odierna).
1	I	_	_	_	_	2	det	_	_	67	O	_
2	deputati	_	_	_	_	7	nsubj	_	_	68	O	_
3	in	_	_	_	_	4	case	_	_	69	O	_
4	missione	_	_	_	_	2	nmod	_	_	70	O	_
5	sono	_	_	_	_	7	cop	_	_	71	O	_
6	complessivamente	_	_	_	_	7	advmod	_	_	72	O	_
7	ventidue	_	_	_	_	0	root	_	_	73	O	_
8	,	_	_	_	_	7	punct	_	_	74	O	_
9	come	_	_	_	_	10	mark	_	_	75	O	_
10	risulta	_	_	_	_	7	advcl	_	_	76	O	_
11-12	dall'	_	_	_	_	_	_	_	_	_	_	_
11	da	_	_	_	_	13	case	_	_	77	O	_
12	l'	_	_	_	_	13	det	_	_	78	O	_
13	elenco	_	_	_	_	10	obl	_	_	79	O	_
14	depositato	_	_	_	_	13	acl	_	_	80	O	_
15	presso	_	_	_	_	17	case	_	_	81	O	_
16	la	_	_	_	_	17	det	_	_	82	O	_
17	Presidenza	_	_	_	_	14	obl	_	_	83	O	_
18	e	_	_	_	_	21	cc	_	_	84	O	_
19	che	_	_	_	_	21	nsubj:pass	_	_	85	O	_
20	sarà	_	_	_	_	21	aux:pass	_	_	86	O	_
21	pubblicato	_	_	_	_	14	conj	_	_	87	O	_
22-23	nell'	_	_	_	_	_	_	_	_	_	_	_
22	in	_	_	_	_	24	case	_	_	88	O	_
23	l'	_	_	_	_	24	det	_	_	89	O	_
24	allegato	_	_	_	_	21	obl	_	_	90	O	_
25	A	_	_	_	_	24	nmod	_	_	91	O	_
26-27	al	_	_	_	_	_	_	_	_	_	_	_
26	a	_	_	_	_	28	case	_	_	92	O	_
27	il	_	_	_	_	28	det	_	_	93	O	_
28	resoconto	_	_	_	_	24	nmod	_	_	94	O	_
29-30	della	_	_	_	_	_	_	_	_	_	_	_
29	di	_	_	_	_	31	case	_	_	95	O	_
30	la	_	_	_	_	31	det	_	_	96	O	_
31	seduta	_	_	_	_	28	nmod	_	_	97	O	_
32	odierna	_	_	_	_	31	amod	_	_	98	O	_
33	(	_	_	_	_	40	punct	_	_	99	DESCR.	DESCR.
34	Ulteriori	_	_	_	_	35	amod	_	_	100	DESCR.	DESCR.
35	comunicazioni	_	_	_	_	40	nsubj:pass	_	_	101	DESCR.	DESCR.
36-37	all'	_	_	_	_	_	_	_	_	_	_	_
36	a	_	_	_	_	38	case	_	_	102	DESCR.	DESCR.
37	l'	_	_	_	_	38	det	_	_	103	DESCR.	DESCR.
38	Assemblea	_	_	_	_	35	nmod	_	_	104	DESCR.	DESCR.
39	saranno	_	_	_	_	40	aux:pass	_	_	105	DESCR.	DESCR.
40	pubblicate	_	_	_	_	21	advcl	_	_	106	DESCR.	DESCR.
41-42	nell'	_	_	_	_	_	_	_	_	_	_	_
41	in	_	_	_	_	43	case	_	_	107	DESCR.	DESCR.
42	l'	_	_	_	_	43	det	_	_	108	DESCR.	DESCR.
43	allegato	_	_	_	_	40	obl	_	_	109	DESCR.	DESCR.
44	A	_	_	_	_	43	nmod	_	_	110	DESCR.	DESCR.
45-46	al	_	_	_	_	_	_	_	_	_	_	_
45	a	_	_	_	_	47	case	_	_	111	DESCR.	DESCR.
46	il	_	_	_	_	47	det	_	_	112	DESCR.	DESCR.
47	resoconto	_	_	_	_	43	nmod	_	_	113	DESCR.	DESCR.
48-49	della	_	_	_	_	_	_	_	_	_	_	_
48	di	_	_	_	_	50	case	_	_	114	DESCR.	DESCR.
49	la	_	_	_	_	50	det	_	_	115	DESCR.	DESCR.
50	seduta	_	_	_	_	47	nmod	_	_	116	DESCR.	DESCR.
51	odierna	_	_	_	_	50	amod	_	_	117	DESCR.	DESCR.
52	)	_	_	_	_	40	punct	_	_	118	DESCR.	DESCR.
53	.	_	_	_	_	7	punct	_	_	119	O	_
# Titolo per i prossimi 1 interventi: Trasmissione del Documento di economia e finanza 2018 e sua assegnazione alla Commissione speciale istituita con deliberazione del 10 aprile 2018.
# INTERVENTO NUMERO 4
# id="tit00020.int00010" cognomeNome="FICO Roberto" nominativo="PRESIDENTE"
# sent_id = 1
# text = Il Presidente del Consiglio dei ministri, con lettera in data 26 aprile 2018, ha trasmesso, ai sensi degli articoli 7, comma 2, lettera a), e 10 della legge 31 dicembre 2009, n. 196, il Documento di economia e finanza 2018 (Doc. LVII, n. 1) (alla sezione II del Documento è allegata la nota metodologica sui criteri di formulazione delle previsioni tendenziali, di cui al comma 4 dell'articolo 10 della legge n. 196 del 2009).
1	Il	_	_	_	_	2	det	_	_	1	O	_
2	Presidente	_	_	_	_	19	nsubj	_	_	2	O	_
3-4	del	_	_	_	_	_	_	_	_	_	_	_
3	di	_	_	_	_	5	case	_	_	3	O	_
4	il	_	_	_	_	5	det	_	_	4	O	_
5	Consiglio	_	_	_	_	2	nmod	_	_	5	O	_
6-7	dei	_	_	_	_	_	_	_	_	_	_	_
6	di	_	_	_	_	8	case	_	_	6	O	_
7	i	_	_	_	_	8	det	_	_	7	O	_
8	ministri	_	_	_	_	5	nmod	_	_	8	O	_
9	,	_	_	_	_	2	punct	_	_	9	O	_
10	con	_	_	_	_	11	case	_	_	10	O	_
11	lettera	_	_	_	_	19	obl	_	_	11	O	_
12	in	_	_	_	_	13	case	_	_	12	O	_
13	data	_	_	_	_	11	nmod	_	_	13	O	_
14	26	_	_	_	_	13	nmod	_	_	14	O	_
15	aprile	_	_	_	_	14	flat	_	_	15	O	_
16	2018	_	_	_	_	14	flat	_	_	16	O	_
17	,	_	_	_	_	11	punct	_	_	17	O	_
18	ha	_	_	_	_	19	aux	_	_	18	O	_
19	trasmesso	_	_	_	_	0	root	_	_	19	O	_
20	,	_	_	_	_	19	punct	_	_	20	O	_
21-22	ai	_	_	_	_	_	_	_	_	_	_	_
21	a	_	_	_	_	23	case	_	_	21	O	_
22	i	_	_	_	_	23	det	_	_	22	O	_
23	sensi	_	_	_	_	19	obl	_	_	23	O	_
24-25	degli	_	_	_	_	_	_	_	_	_	_	_
24	di	_	_	_	_	26	case	_	_	24	O	_
25	gli	_	_	_	_	26	det	_	_	25	O	_
26	articoli	_	_	_	_	23	nmod	_	_	26	O	_
27	7	_	_	_	_	26	nummod	_	_	27	O	_
28	,	_	_	_	_	27	punct	_	_	28	O	_
29	comma	_	_	_	_	26	nmod	_	_	29	O	_
30	2	_	_	_	_	29	nummod	_	_	30	O	_
31	,	_	_	_	_	29	punct	_	_	31	O	_
32	lettera	_	_	_	_	29	nmod	_	_	32	O	_
33	a	_	_	_	_	32	nmod	_	_	33	O	_
34	)	_	_	_	_	33	punct	_	_	34	O	_
35	,	_	_	_	_	37	punct	_	_	35	O	_
36	e	_	_	_	_	37	cc	_	_	36	O	_
37	10	_	_	_	_	27	conj	_	_	37	O	_
38-39	della	_	_	_	_	_	_	_	_	_	_	_
38	di	_	_	_	_	40	case	_	_	38	O	_
39	la	_	_	_	_	40	det	_	_	39	O	_
40	legge	_	_	_	_	37	nmod	_	_	40	O	_
41	31	_	_	_	_	40	nmod	_	_	41	O	_
42	dicembre	_	_	_	_	41	flat	_	_	42	O	_
43	2009	_	_	_	_	41	flat	_	_	43	O	_
44	,	_	_	_	_	40	punct	_	_	44	O	_
45	n.	_	_	_	_	40	nmod	_	_	45	O	_
46	196	_	_	_	_	45	nummod	_	_	46	O	_
47	,	_	_	_	_	19	punct	_	_	47	O	_
48	il	_	_	_	_	49	det	_	_	48	O	_
49	Documento	_	_	_	_	19	obj	_	_	49	O	_
50	di	_	_	_	_	51	case	_	_	50	O	_
51	economia	_	_	_	_	49	nmod	_	_	51	O	_
52	e	_	_	_	_	53	cc	_	_	52	O	_
53	finanza	_	_	_	_	51	conj	_	_	53	O	_
54	2018	_	_	_	_	49	amod	_	_	54	O	_
55	(	_	_	_	_	56	punct	_	_	55	DESCR.	DESCR.
56	Doc.	_	_	_	_	49	nmod	_	_	56	DESCR.	DESCR.
57	LVII	_	_	_	_	56	nmod	_	_	57	DESCR.	DESCR.
58	,	_	_	_	_	56	punct	_	_	58	DESCR.	DESCR.
59	n.	_	_	_	_	56	nmod	_	_	59	DESCR.	DESCR.
60	1	_	_	_	_	59	nummod	_	_	60	DESCR.	DESCR.
61	)	_	_	_	_	56	punct	_	_	61	DESCR.	DESCR.
62	(	_	_	_	_	71	punct	_	_	62	O	_
63-64	alla	_	_	_	_	_	_	_	_	_	_	_
63	a	_	_	_	_	65	case	_	_	63	O	_
64	la	_	_	_	_	65	det	_	_	64	O	_
65	sezione	_	_	_	_	71	obl	_	_	65	O	_
66	II	_	_	_	_	65	amod	_	_	66	O	_
67-68	del	_	_	_	_	_	_	_	_	_	_	_
67	di	_	_	_	_	69	case	_	_	67	O	_
68	il	_	_	_	_	69	det	_	_	68	O	_
69	Documento	_	_	_	_	65	nmod	_	_	69	O	_
70	è	_	_	_	_	71	aux:pass	_	_	70	O	_
71	allegata	_	_	_	_	19	advcl	_	_	71	O	_
72	la	_	_	_	_	73	det	_	_	72	O	_
73	nota	_	_	_	_	71	nsubj:pass	_	_	73	O	_
74	metodologica	_	_	_	_	73	amod	_	_	74	O	_
75-76	sui	_	_	_	_	_	_	_	_	_	_	_
75	su	_	_	_	_	77	case	_	_	75	O	_
76	i	_	_	_	_	77	det	_	_	76	O	_
77	criteri	_	_	_	_	73	nmod	_	_	77	O	_
78	di	_	_	_	_	79	case	_	_	78	O	_
79	formulazione	_	_	_	_	77	nmod	_	_	79	O	_
80-81	delle	_	_	_	_	_	_	_	_	_	_	_
80	di	_	_	_	_	82	case	_	_	80	O	_
81	le	_	_	_	_	82	det	_	_	81	O	_
82	previsioni	_	_	_	_	79	nmod	_	_	82	O	_
83	tendenziali	_	_	_	_	82	amod	_	_	83	O	_
84	,	_	_	_	_	73	punct	_	_	84	O	_
85	di	_	_	_	_	86	case	_	_	85	O	_
86	cui	_	_	_	_	89	nmod	_	_	86	O	_
87-88	al	_	_	_	_	_	_	_	_	_	_	_
87	a	_	_	_	_	89	case	_	_	87	O	_
88	il	_	_	_	_	89	det	_	_	88	O	_
89	comma	_	_	_	_	77	nmod	_	_	89	O	_
90	4	_	_	_	_	89	nummod	_	_	90	O	_
91-92	dell'	_	_	_	_	_	_	_	_	_	_	_
91	di	_	_	_	_	93	case	_	_	91	O	_
92	l'	_	_	_	_	93	det	_	_	92	O	_
93	articolo	_	_	_	_	89	nmod	_	_	93	O	_
94	10	_	_	_	_	93	nummod	_	_	94	O	_
95-96	della	_	_	_	_	_	_	_	_	_	_	_
95	di	_	_	_	_	97	case	_	_	95	O	_
96	la	_	_	_	_	97	det	_	_	96	O	_
97	legge	_	_	_	_	93	nmod	_	_	97	O	_
98	n.	_	_	_	_	97	nmod	_	_	98	O	_
99	196	_	_	_	_	98	nummod	_	_	99	O	_
100-101	del	_	_	_	_	_	_	_	_	_	_	_
100	di	_	_	_	_	102	case	_	_	100	O	_
101	il	_	_	_	_	102	det	_	_	101	O	_
102	2009	_	_	_	_	97	nmod	_	_	102	O	_
103	)	_	_	_	_	71	punct	_	_	103	O	_
104	.	_	_	_	_	19	punct	_	_	104	O	_
# sent_id = 2
# text = Al Documento sono allegati: il rapporto sullo stato di attuazione della riforma della contabilità e finanza pubblica, di cui all'articolo 3 della legge n. 196 del 2009 (Doc. LVII, n. 1 - Allegato I);
1-2	Al	_	_	_	_	_	_	_	_	_	_	_
1	A	_	_	_	_	3	case	_	_	105	O	_
2	il	_	_	_	_	3	det	_	_	106	O	_
3	Documento	_	_	_	_	5	obl	_	_	107	O	_
4	sono	_	_	_	_	5	aux:pass	_	_	108	O	_
5	allegati	_	_	_	_	0	root	_	_	109	O	_
6	:	_	_	_	_	5	punct	_	_	110	O	_
7	il	_	_	_	_	8	det	_	_	111	O	_
8	rapporto	_	_	_	_	5	nsubj:pass	_	_	112	O	_
9-10	sullo	_	_	_	_	_	_	_	_	_	_	_
9	su	_	_	_	_	11	case	_	_	113	O	_
10	lo	_	_	_	_	11	det	_	_	114	O	_
11	stato	_	_	_	_	8	nmod	_	_	115	O	_
12	di	_	_	_	_	13	case	_	_	116	O	_
13	attuazione	_	_	_	_	11	nmod	_	_	117	O	_
14-15	della	_	_	_	_	_	_	_	_	_	_	_
14	di	_	_	_	_	16	case	_	_	118	O	_
15	la	_	_	_	_	16	det	_	_	119	O	_
16	riforma	_	_	_	_	13	nmod	_	_	120	O	_
17-18	della	_	_	_	_	_	_	_	_	_	_	_
17	di	_	_	_	_	19	case	_	_	121	O	_
18	la	_	_	_	_	19	det	_	_	122	O	_
19	contabilità	_	_	_	_	16	nmod	_	_	123	O	_
20	e	_	_	_	_	21	cc	_	_	124	O	_
21	finanza	_	_	_	_	19	conj	_	_	125	O	_
22	pubblica	_	_	_	_	21	amod	_	_	126	O	_
23	,	_	_	_	_	16	punct	_	_	127	O	_
24	di	_	_	_	_	25	case	_	_	128	O	_
25	cui	_	_	_	_	28	nmod	_	_	129	O	_
26-27	all'	_	_	_	_	_	_	_	_	_	_	_
26	a	_	_	_	_	28	case	_	_	130	O	_
27	l'	_	_	_	_	28	det	_	_	131	O	_
28	articolo	_	_	_	_	16	nmod	_	_	132	O	_
29	3	_	_	_	_	28	nummod	_	_	133	O	_
30-31	della	_	_	_	_	_	_	_	_	_	_	_
30	di	_	_	_	_	32	case	_	_	134	O	_
31	la	_	_	_	_	32	det	_	_	135	O	_
32	legge	_	_	_	_	28	nmod	_	_	136	O	_
33	n.	_	_	_	_	32	nmod	_	_	137	O	_
34	196	_	_	_	_	33	nummod	_	_	138	O	_
35-36	del	_	_	_	_	_	_	_	_	_	_	_
35	di	_	_	_	_	37	case	_	_	139	O	_
36	il	_	_	_	_	37	det	_	_	140	O	_
37	2009	_	_	_	_	33	nmod	_	_	141	O	_
38	(	_	_	_	_	39	punct	_	_	142	DESCR.	DESCR.
39	Doc.	_	_	_	_	8	nmod	_	_	143	DESCR.	DESCR.
40	LVII	_	_	_	_	39	nmod	_	_	144	DESCR.	DESCR.
41	,	_	_	_	_	39	punct	_	_	145	DESCR.	DESCR.
42	n.	_	_	_	_	39	nmod	_	_	146	DESCR.	DESCR.
43	1	_	_	_	_	42	nummod	_	_	147	DESCR.	DESCR.
44	-	_	_	_	_	39	punct	_	_	148	DESCR.	DESCR.
45	Allegato	_	_	_	_	39	nmod	_	_	149	DESCR.	DESCR.
46	I	_	_	_	_	45	amod	_	_	150	DESCR.	DESCR.
47	)	_	_	_	_	39	punct	_	_	151	DESCR.	DESCR.
48	;	_	_	_	_	5	punct	_	_	152	O	_
# sent_id = 3
# text = la relazione sugli interventi nelle aree sottoutilizzate, di cui all'articolo 10, comma 7, della legge n. 196 del 2009 e all'articolo 7 del decreto legislativo 31 maggio 2011, n. 88 (Doc. LVII, n. 1 - Allegato II);
1	la	_	_	_	_	2	det	_	_	153	O	_
2	relazione	_	_	_	_	0	root	_	_	154	O	_
3-4	sugli	_	_	_	_	_	_	_	_	_	_	_
3	su	_	_	_	_	5	case	_	_	155	O	_
4	gli	_	_	_	_	5	det	_	_	156	O	_
5	interventi	_	_	_	_	2	nmod	_	_	157	O	_
6-7	nelle	_	_	_	_	_	_	_	_	_	_	_
6	in	_	_	_	_	8	case	_	_	158	O	_
7	le	_	_	_	_	8	det	_	_	159	O	_
8	aree	_	_	_	_	5	nmod	_	_	160	O	_
9	sottoutilizzate	_	_	_	_	8	amod	_	_	161	O	_
10	,	_	_	_	_	5	punct	_	_	162	O	_
11	di	_	_	_	_	12	case	_	_	163	O	_
12	cui	_	_	_	_	2	nmod	_	_	164	O	_
13-14	all'	_	_	_	_	_	_	_	_	_	_	_
13	a	_	_	_	_	15	case	_	_	165	O	_
14	l'	_	_	_	_	15	det	_	_	166	O	_
15	articolo	_	_	_	_	12	nmod	_	_	167	O	_
16	10	_	_	_	_	15	nummod	_	_	168	O	_
17	,	_	_	_	_	15	punct	_	_	169	O	_
18	comma	_	_	_	_	15	nmod	_	_	170	O	_
19	7	_	_	_	_	18	nummod	_	_	171	O	_
20	,	_	_	_	_	15	punct	_	_	172	O	_
21-22	della	_	_	_	_	_	_	_	_	_	_	_
21	di	_	_	_	_	23	case	_	_	173	O	_
22	la	_	_	_	_	23	det	_	_	174	O	_
23	legge	_	_	_	_	15	nmod	_	_	175	O	_
24	n.	_	_	_	_	23	nmod	_	_	176	O	_
25	196	_	_	_	_	24	nummod	_	_	177	O	_
26-27	del	_	_	_	_	_	_	_	_	_	_	_
26	di	_	_	_	_	28	case	_	_	178	O	_
27	il	_	_	_	_	28	det	_	_	179	O	_
28	2009	_	_	_	_	23	nmod	_	_	180	O	_
29	e	_	_	_	_	32	cc	_	_	181	O	_
30-31	all'	_	_	_	_	_	_	_	_	_	_	_
30	a	_	_	_	_	32	case	_	_	182	O	_
31	l'	_	_	_	_	32	det	_	_	183	O	_
32	articolo	_	_	_	_	15	conj	_	_	184	O	_
33	7	_	_	_	_	32	nummod	_	_	185	O	_
34-35	del	_	_	_	_	_	_	_	_	_	_	_
34	di	_	_	_	_	36	case	_	_	186	O	_
35	il	_	_	_	_	36	det	_	_	187	O	_
36	decreto	_	_	_	_	32	nmod	_	_	188	O	_
37	legislativo	_	_	_	_	36	amod	_	_	189	O	_
38	31	_	_	_	_	36	nmod	_	_	190	O	_
39	maggio	_	_	_	_	38	flat	_	_	191	O	_
40	2011	_	_	_	_	38	flat	_	_	192	O	_
41	,	_	_	_	_	36	punct	_	_	193	O	_
42	n.	_	_	_	_	36	nmod	_	_	194	O	_
43	88	_	_	_	_	38	flat	_	_	195	O	_
44	(	_	_	_	_	45	punct	_	_	196	DESCR.	DESCR.
45	Doc.	_	_	_	_	2	nmod	_	_	197	DESCR.	DESCR.
46	LVII	_	_	_	_	45	nmod	_	_	198	DESCR.	DESCR.
47	,	_	_	_	_	45	punct	_	_	199	DESCR.	DESCR.
48	n.	_	_	_	_	45	nmod	_	_	200	DESCR.	DESCR.
49	1	_	_	_	_	48	nummod	_	_	201	DESCR.	DESCR.
50	-	_	_	_	_	45	punct	_	_	202	DESCR.	DESCR.
51	Allegato	_	_	_	_	45	nmod	_	_	203	DESCR.	DESCR.
52	II	_	_	_	_	51	amod	_	_	204	DESCR.	DESCR.
53	)	_	_	_	_	45	punct	_	_	205	DESCR.	DESCR.
54	;	_	_	_	_	2	punct	_	_	206	O	_
# sent_id = 4
# text = il documento "Connettere l'Italia: lo stato di attuazione dei programmi per le infrastrutture di trasporto e logistica" (Doc. LVII, n. 1 - Allegato III);
1	il	_	_	_	_	2	det	_	_	207	O	_
